zip,default_state,county,county_state,state_abbreviation,county_code,zip_pop,zip_pop_in_county,n_counties,default_city
"00501",NY,Suffolk County,New York,NY,36103,,0,1,Holtsville
"00601",PR,Adjuntas Municipio,Puerto Rico,PR,72001,16721,0.99744898,2,Adjuntas
"00601",PR,Lares Municipio,Puerto Rico,PR,72081,16721,0.00255102,2,Adjuntas
"00602",PR,Aguada Municipio,Puerto Rico,PR,72003,37510,0.999413588,3,Aguada
"00602",PR,Aguadilla Municipio,Puerto Rico,PR,72005,37510,0,3,Aguada
"00602",PR,Rincón Municipio,Puerto Rico,PR,72117,37510,0.000586412,3,Aguada
"00603",PR,Aguadilla Municipio,Puerto Rico,PR,72005,48317,0.999348958,2,Aguadilla
"00603",PR,Moca Municipio,Puerto Rico,PR,72099,48317,0.000651042,2,Aguadilla
"00604",PR,Aguadilla Municipio,Puerto Rico,PR,72005,,1,1,Aguadilla
"00605",PR,Aguadilla Municipio,Puerto Rico,PR,72005,,1,1,Aguadilla
"00606",PR,Maricao Municipio,Puerto Rico,PR,72093,5435,1,1,Maricao
"00610",PR,Añasco Municipio,Puerto Rico,PR,72011,25413,1,1,Anasco
"00611",PR,Utuado Municipio,Puerto Rico,PR,72141,1522,1,1,Angeles
"00612",PR,Arecibo Municipio,Puerto Rico,PR,72013,62462,0.989479886,5,Arecibo
"00612",PR,Barceloneta Municipio,Puerto Rico,PR,72017,62462,0.001178253,5,Arecibo
"00612",PR,Florida Municipio,Puerto Rico,PR,72054,62462,0.003113954,5,Arecibo
"00612",PR,Hatillo Municipio,Puerto Rico,PR,72065,62462,0.006017505,5,Arecibo
"00612",PR,Utuado Municipio,Puerto Rico,PR,72141,62462,0.000210402,5,Arecibo
"00613",PR,Arecibo Municipio,Puerto Rico,PR,72013,,1,1,Arecibo
"00614",PR,Arecibo Municipio,Puerto Rico,PR,72013,,1,1,Arecibo
"00616",PR,Arecibo Municipio,Puerto Rico,PR,72013,9836,1,1,Bajadero
"00617",PR,Barceloneta Municipio,Puerto Rico,PR,72017,22699,0.956049968,3,Barceloneta
"00617",PR,Florida Municipio,Puerto Rico,PR,72054,22699,0.00173247,3,Barceloneta
"00617",PR,Manatí Municipio,Puerto Rico,PR,72091,22699,0.042217562,3,Barceloneta
"00622",PR,Cabo Rojo Municipio,Puerto Rico,PR,72023,7950,1,1,Boqueron
"00623",PR,Cabo Rojo Municipio,Puerto Rico,PR,72023,39005,1,1,Cabo Rojo
"00624",PR,Guayanilla Municipio,Puerto Rico,PR,72059,21374,0,3,Penuelas
"00624",PR,Peñuelas Municipio,Puerto Rico,PR,72111,21374,0.998942498,3,Penuelas
"00624",PR,Ponce Municipio,Puerto Rico,PR,72113,21374,0.001057502,3,Penuelas
"00627",PR,Camuy Municipio,Puerto Rico,PR,72027,32753,1,1,Camuy
"00631",PR,Lares Municipio,Puerto Rico,PR,72081,1357,0,1,Castaner
"00637",PR,Sabana Grande Municipio,Puerto Rico,PR,72121,22884,1,1,Sabana Grande
"00638",PR,Ciales Municipio,Puerto Rico,PR,72039,17410,0.999376947,2,Ciales
"00638",PR,Orocovis Municipio,Puerto Rico,PR,72107,17410,0.000623053,2,Ciales
"00641",PR,Ponce Municipio,Puerto Rico,PR,72113,23962,0.003932244,2,Utuado
"00641",PR,Utuado Municipio,Puerto Rico,PR,72141,23962,0.996067756,2,Utuado
"00646",PR,Dorado Municipio,Puerto Rico,PR,72051,36099,0.974052555,4,Dorado
"00646",PR,Toa Alta Municipio,Puerto Rico,PR,72135,36099,0.007328668,4,Dorado
"00646",PR,Toa Baja Municipio,Puerto Rico,PR,72137,36099,0.001518553,4,Dorado
"00646",PR,Vega Alta Municipio,Puerto Rico,PR,72143,36099,0.017100224,4,Dorado
"00647",PR,Guánica Municipio,Puerto Rico,PR,72055,4611,0.991702432,2,Ensenada
"00647",PR,Sabana Grande Municipio,Puerto Rico,PR,72121,4611,0.008297568,2,Ensenada
"00650",PR,Arecibo Municipio,Puerto Rico,PR,72013,13457,0.114671467,3,Florida
"00650",PR,Barceloneta Municipio,Puerto Rico,PR,72017,13457,0.028442844,3,Florida
"00650",PR,Florida Municipio,Puerto Rico,PR,72054,13457,0.856885689,3,Florida
"00652",PR,Arecibo Municipio,Puerto Rico,PR,72013,4492,1,1,Garrochales
"00653",PR,Guánica Municipio,Puerto Rico,PR,72055,8665,0.99664767,2,Guanica
